goos: linux
goarch: amd64
pkg: github.com/cep21/tdigestbench
BenchmarkTdigest_TotalSize/digest=caio-8         	       2	 908099050 ns/op	  128528 B/op	      12 allocs/op
BenchmarkTdigest_TotalSize/digest=segmentio-8    	      40	  28386678 ns/op	14393437 B/op	  549063 allocs/op
BenchmarkTdigest_TotalSize/digest=influxdata-8   	     352	   3368788 ns/op	  448458 B/op	      19 allocs/op
BenchmarkTdigest_Add/source=linear/digest=caio-8 	  917718	      4860 ns/op	      60 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=linear/digest=segmentio-8         	 1735029	      1154 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=linear/digest=influxdata-8        	13266601	        94.4 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=rand/digest=caio-8                	 1000000	      1319 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=rand/digest=segmentio-8           	 5274670	       457 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=rand/digest=influxdata-8          	 7803522	       156 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=caio-8         	  187168	      9559 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=segmentio-8    	 1490084	       998 ns/op	     593 B/op	       8 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=influxdata-8   	28318449	        36.3 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=exponential/digest=caio-8         	 1000000	      1301 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=exponential/digest=segmentio-8    	 5012250	       460 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=exponential/digest=influxdata-8   	 7599052	       159 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=caio-8           	 1000000	      1332 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=segmentio-8      	 4990347	       461 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=influxdata-8     	 7443300	       165 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Quantile/digest=caio-8                       	128476878	         9.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Quantile/digest=segmentio-8                  	126538496	         9.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Quantile/digest=influxdata-8                 	100000000	        10.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=influxdata/quant=0.100000-8     	1000000000	         0.0117 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=influxdata/quant=0.500000-8     	1000000000	         0.0120 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=influxdata/quant=0.900000-8     	1000000000	         0.0116 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=influxdata/quant=0.990000-8     	1000000000	         0.0117 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=influxdata/quant=0.999000-8     	1000000000	         0.0115 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=caio/quant=0.000000-8           	1000000000	         0.0623 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=caio/quant=0.100000-8           	1000000000	         0.0619 ns/op	         0.000212 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=caio/quant=0.500000-8           	1000000000	         0.0655 ns/op	         0.00179 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=caio/quant=0.900000-8           	1000000000	         0.0622 ns/op	         0.000796 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=caio/quant=0.990000-8           	1000000000	         0.0616 ns/op	         0.00320 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=caio/quant=0.999000-8           	1000000000	         0.0630 ns/op	         0.00452 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=segmentio/quant=0.000000-8      	1000000000	         0.0612 ns/op	        17.6 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=segmentio/quant=0.100000-8      	1000000000	         0.0642 ns/op	         1.11 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=segmentio/quant=0.500000-8      	1000000000	         0.0620 ns/op	         0.119 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=segmentio/quant=0.900000-8      	1000000000	         0.0618 ns/op	         2.23 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=segmentio/quant=0.990000-8      	1000000000	         0.0654 ns/op	         0.735 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=segmentio/quant=0.999000-8      	1000000000	         0.0609 ns/op	         0.992 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=influxdata/quant=0.000000-8     	1000000000	         0.0614 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=influxdata/quant=0.100000-8     	1000000000	         0.0656 ns/op	         0.000994 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=influxdata/quant=0.500000-8     	1000000000	         0.0619 ns/op	         0.00219 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=influxdata/quant=0.900000-8     	1000000000	         0.0618 ns/op	         0.00957 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=influxdata/quant=0.990000-8     	1000000000	         0.0621 ns/op	         0.0281 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=exponential/digest=influxdata/quant=0.999000-8     	1000000000	         0.0612 ns/op	         0.118 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.000000-8             	1000000000	         0.0608 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.100000-8             	1000000000	         0.0612 ns/op	         0.00240 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.500000-8             	1000000000	         0.0633 ns/op	         0.00289 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.900000-8             	1000000000	         0.0617 ns/op	         0.00164 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.990000-8             	1000000000	         0.0613 ns/op	         0.00149 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=caio/quant=0.999000-8             	1000000000	         0.0625 ns/op	         0.000095 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.000000-8        	1000000000	         0.0759 ns/op	         5.93 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.100000-8        	1000000000	         0.0610 ns/op	         0.720 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.500000-8        	1000000000	         0.0638 ns/op	         0.542 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.900000-8        	1000000000	         0.0612 ns/op	       132 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.990000-8        	1000000000	         0.0612 ns/op	         0.143 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=segmentio/quant=0.999000-8        	1000000000	         0.0611 ns/op	         0.0136 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=influxdata/quant=0.000000-8       	1000000000	         0.0615 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=influxdata/quant=0.100000-8       	1000000000	         0.0621 ns/op	         0.00742 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=influxdata/quant=0.500000-8       	1000000000	         0.0611 ns/op	         0.00354 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=influxdata/quant=0.900000-8       	1000000000	         0.0618 ns/op	        28.7 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=influxdata/quant=0.990000-8       	1000000000	         0.0627 ns/op	         0.00612 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=tailspike/digest=influxdata/quant=0.999000-8       	1000000000	         0.0907 ns/op	         0.00134 %difference	       0 B/op	       0 allocs/op
PASS
ok  	github.com/cep21/tdigestbench	105.999s
